pts,crf_ref,encode_order,intra_qp_ref,intra_total_bits,intra_y_psnr,intra_u_psnr,intra_v_psnr,intra_yuv_psnr,intra_ssim,intra_ssim_db,intra_total_time,poc,inter_qp_ref,inter_total_bits,inter_y_psnr,inter_u_psnr,inter_v_psnr,inter_yuv_psnr,inter_ssim,inter_ssim_db,inter_total_time,ctu_intra_pct,ctu_merge_pct,ctu_skip_pct,ctu_inter_pct
3133333,28,188,3330,359464,38881,44211,43556,40132,961593,14156,39330,188,3086,59320,39798,46037,45264,41261,970837,15352,3640,3.95,59.78,7.59,28.68
3150000,28,189,3332,360304,38851,44185,43524,40102,961344,14128,23700,189,3003,75816,39958,46072,45307,41391,971517,15454,3620,3.3,53.04,8.91,34.75
3166667,28,190,3331,362448,38894,44096,43544,40126,961855,14186,35970,190,2997,75096,39996,46087,45317,41422,971731,15487,3640,5.48,50.21,12.74,31.57
3183333,28,191,3332,360704,38890,44150,43569,40133,961883,14189,43350,191,2992,85744,39961,46094,45313,41397,971582,15464,3860,6.78,46.82,12.27,34.13
3200000,28,192,3328,358600,38991,44252,43675,40234,962824,14297,29460,192,3048,64200,39900,46053,45254,41338,971459,15445,3680,6.19,55.47,9.58,28.76
3216667,28,193,3332,359512,38941,44257,43653,40194,962503,14260,36260,193,3002,80008,40012,46115,45322,41438,972056,15537,3780,5.49,49.94,9.59,34.98
3233333,28,194,3331,357480,38929,44167,43597,40167,962626,14274,43890,194,2991,79184,40059,46099,45331,41473,972358,15584,3960,6.3,51.28,10.08,32.34
3250000,28,195,3326,359048,38968,44236,43677,40215,962810,14296,31060,195,2980,88608,40081,46129,45336,41494,972472,15602,3900,7.76,46.6,10.48,35.16
3266667,28,196,3323,356216,39076,44276,43677,40301,963671,14398,31060,196,3011,69024,39970,46047,45295,41395,972150,15552,4080,6.1,50.65,11.16,32.09
3283333,28,197,3322,357296,39041,44267,43725,40280,963513,14379,39670,197,3000,77096,40061,46077,45321,41471,972542,15613,3700,5.05,47.7,12.45,34.8
3300000,28,198,3320,355088,39029,44248,43670,40261,963610,14390,22280,198,2995,82904,40037,46106,45329,41457,972449,15599,3840,5.65,46.71,11.81,35.83
3316667,28,199,3317,354272,39075,44321,43661,40304,963969,14433,29140,199,2979,85576,40062,46094,45319,41473,972594,15622,3460,5.19,46.34,11.09,37.38
